phase, period, amp, t_strt, t_end
223, 193, 5.185, 0, 1 
131, 138, 6.85562, 0, 1 
8, 125, 8.43417, 0, 1 
61, 169, 1.72693, 0, 1 
166, 227, 9.99976, 0, 1 
165, 195, 3.74596, 0, 1 
224, 143, 12.1576, 0, 1 
124, 149, 4.18567, 0, 1 
134, 17, 13.3721, 0, 1 
160, 90, 5.16023, 0, 1 
45, 131, 0.934959, 0, 1 
121, 23, 13.0397, 0, 1 
201, 171, 1.56721, 0, 1 
10, 133, 4.95249, 0, 1 
187, 72, 5.74059, 0, 1 
215, 70, 10.9088, 0, 1 
163, 200, 4.46318, 0, 1 
11, 103, 2.40251, 0, 1 
225, 124, 4.51415, 0, 1 
102, 7, 8.49597, 0, 1 
